agent_id,role,ward,position,alt
490,PATIENT,0,3105,T
916,HCW,6,3105,T
986,HCW,6,3105,T
636,PATIENT,6,3105,T
853,HCW,3,3105,T
180,PATIENT,0,3105,T
750,HCW,0,3105,T
942,HCW,2,3105,T
6,PATIENT,6,3105,T
50,PATIENT,0,3105,T
530,PATIENT,0,3105,T
390,PATIENT,0,3105,T
610,PATIENT,0,3105,T
780,HCW,0,3105,T
190,PATIENT,0,3105,T
410,PATIENT,0,3105,T
78,PATIENT,8,3222,T
821,HCW,1,3247,T
380,PATIENT,0,3277,T
375,PATIENT,5,3278,T
416,PATIENT,6,3292,T
398,PATIENT,8,3311,T
832,HCW,2,3332,T
221,PATIENT,1,3404,T
111,PATIENT,1,3404,T
271,PATIENT,1,3404,T
301,PATIENT,1,3404,T
421,PATIENT,1,3404,T
311,PATIENT,1,3404,T
511,PATIENT,1,3404,T
904,HCW,4,3404,T
561,PATIENT,1,3404,T
701,HCW,1,3404,T
161,PATIENT,1,3404,T
361,PATIENT,1,3404,T
811,HCW,1,3404,T
471,PATIENT,1,3404,T
931,HCW,1,3404,T
871,HCW,1,3404,T
21,PATIENT,1,3404,T
279,PATIENT,9,3404,T
779,HCW,9,3404,T
159,PATIENT,9,3404,T
504,PATIENT,4,3404,T
359,PATIENT,9,3404,T
114,PATIENT,4,3404,T
9,PATIENT,9,3404,T
209,PATIENT,9,3404,T
479,PATIENT,9,3404,T
529,PATIENT,9,3404,T
719,HCW,9,3404,T
741,HCW,1,3404,T
79,PATIENT,9,3404,T
99,PATIENT,9,3404,T
449,PATIENT,9,3404,T
609,PATIENT,9,3404,T
679,PATIENT,9,3404,T
861,HCW,1,3404,T
19,PATIENT,9,3404,T
129,PATIENT,9,3404,T
409,PATIENT,9,3404,T
499,PATIENT,9,3404,T
559,PATIENT,9,3404,T
289,PATIENT,9,3404,T
329,PATIENT,9,3404,T
339,PATIENT,9,3404,T
534,PATIENT,4,3404,T
539,PATIENT,9,3404,T
699,PATIENT,9,3404,T
829,HCW,9,3404,T
89,PATIENT,9,3404,T
219,PATIENT,9,3404,T
709,HCW,9,3404,T
299,PATIENT,9,3404,T
399,PATIENT,9,3404,T
514,PATIENT,4,3404,T
549,PATIENT,9,3404,T
739,HCW,9,3404,T
319,PATIENT,9,3404,T
619,PATIENT,9,3404,T
794,HCW,4,3404,T
839,HCW,9,3404,T
989,HCW,9,3404,T
49,PATIENT,9,3404,T
139,PATIENT,9,3404,T
845,HCW,5,3404,T
859,HCW,9,3404,T
953,HCW,3,3404,T
119,PATIENT,9,3404,T
249,PATIENT,9,3404,T
959,HCW,9,3404,T
979,HCW,9,3404,T
314,PATIENT,4,3404,T
349,PATIENT,9,3404,T
369,PATIENT,9,3404,T
649,PATIENT,9,3404,T
792,HCW,2,3404,T
909,HCW,9,3404,T
149,PATIENT,9,3404,T
419,PATIENT,9,3404,T
569,PATIENT,9,3404,T
612,PATIENT,2,3404,T
258,PATIENT,8,3404,T
12,PATIENT,2,3404,T
754,HCW,4,3404,T
922,HCW,2,3404,T
762,HCW,2,3404,T
142,PATIENT,2,3404,T
742,HCW,2,3404,T
889,HCW,9,3404,T
740,HCW,0,3404,T
971,HCW,1,3410,T
574,PATIENT,4,3415,T
174,PATIENT,4,3415,T
650,PATIENT,0,3433,T
653,PATIENT,3,3478,T
939,HCW,9,3500,T
376,PATIENT,6,3527,T
176,PATIENT,6,3527,T
486,PATIENT,6,3527,T
676,PATIENT,6,3527,T
686,PATIENT,6,3527,T
576,PATIENT,6,3527,T
746,HCW,6,3527,T
276,PATIENT,6,3527,T
422,PATIENT,2,3527,T
886,HCW,6,3527,T
86,PATIENT,6,3527,T
286,PATIENT,6,3527,T
436,PATIENT,6,3527,T
760,HCW,0,3527,T
906,HCW,6,3527,T
316,PATIENT,6,3527,T
476,PATIENT,6,3527,T
860,HCW,0,3527,T
656,PATIENT,6,3527,T
806,HCW,6,3527,T
976,HCW,6,3527,T
792,HCW,2,3562,T
612,PATIENT,2,3562,T
12,PATIENT,2,3562,T
762,HCW,2,3562,T
142,PATIENT,2,3562,T
742,HCW,2,3562,T
146,PATIENT,6,3571,T
193,PATIENT,3,3627,T
808,HCW,8,3793,T
162,PATIENT,2,3810,T
952,HCW,2,3810,T
362,PATIENT,2,3810,T
562,PATIENT,2,3810,T
827,HCW,7,3810,T
801,HCW,1,3834,T
880,HCW,0,3862,T
942,HCW,2,3885,T
198,PATIENT,8,3897,T
337,PATIENT,7,3951,T
238,PATIENT,8,4128,T
312,PATIENT,2,4248,T
876,HCW,6,4252,T
294,PATIENT,4,4298,T
369,PATIENT,9,4359,T
353,PATIENT,3,4360,T
67,PATIENT,7,4444,T
755,HCW,5,4454,T
861,HCW,1,4475,T
189,PATIENT,9,4483,T
340,PATIENT,0,4507,T
540,PATIENT,0,4507,T
140,PATIENT,0,4507,T
36,PATIENT,6,4524,T
87,PATIENT,7,4525,T
31,PATIENT,1,4565,T
43,PATIENT,3,4570,T
204,PATIENT,4,4573,T
154,PATIENT,4,4573,T
604,PATIENT,4,4573,T
864,HCW,4,4573,T
324,PATIENT,4,4573,T
364,PATIENT,4,4573,T
564,PATIENT,4,4573,T
554,PATIENT,4,4573,T
628,PATIENT,8,4612,T
955,HCW,5,4717,T
21,PATIENT,1,4724,T
215,PATIENT,5,4798,T
237,PATIENT,7,4860,T
907,HCW,7,4860,T
617,PATIENT,7,4860,T
887,HCW,7,4860,T
977,HCW,7,4860,T
876,HCW,6,4963,T
116,PATIENT,6,5065,T
466,PATIENT,6,5065,T
516,PATIENT,6,5065,T
666,PATIENT,6,5065,T
196,PATIENT,6,5067,T
952,HCW,2,5103,T
362,PATIENT,2,5103,T
827,HCW,7,5103,T
530,PATIENT,0,5135,T
650,PATIENT,0,5202,T
157,PATIENT,7,5238,T
627,PATIENT,7,5238,T
767,HCW,7,5254,T
122,PATIENT,2,5282,T
527,PATIENT,7,5300,T
32,PATIENT,2,5330,T
614,PATIENT,4,5368,T
971,HCW,1,5406,T
955,HCW,5,5426,T
494,PATIENT,4,5466,T
234,PATIENT,4,5466,T
274,PATIENT,4,5466,T
195,PATIENT,5,5466,T
294,PATIENT,4,5466,T
454,PATIENT,4,5466,T
34,PATIENT,4,5466,T
74,PATIENT,4,5466,T
94,PATIENT,4,5466,T
104,PATIENT,4,5466,T
544,PATIENT,4,5466,T
734,HCW,4,5466,T
144,PATIENT,4,5466,T
124,PATIENT,4,5466,T
204,PATIENT,4,5466,T
254,PATIENT,4,5466,T
654,PATIENT,4,5466,T
344,PATIENT,4,5466,T
674,PATIENT,4,5466,T
774,HCW,4,5466,T
894,HCW,4,5466,T
154,PATIENT,4,5466,T
304,PATIENT,4,5466,T
990,HCW,0,5466,T
604,PATIENT,4,5466,T
880,HCW,0,5466,T
974,HCW,4,5466,T
395,PATIENT,5,5466,T
784,HCW,4,5466,T
680,PATIENT,0,5466,T
732,HCW,2,5466,T
764,HCW,4,5466,T
864,HCW,4,5466,T
324,PATIENT,4,5466,T
364,PATIENT,4,5466,T
404,PATIENT,4,5466,T
535,PATIENT,5,5466,T
80,PATIENT,0,5466,T
280,PATIENT,0,5466,T
714,HCW,4,5466,T
844,HCW,4,5466,T
335,PATIENT,5,5466,T
564,PATIENT,4,5466,T
980,HCW,0,5466,T
554,PATIENT,4,5466,T
574,PATIENT,4,5466,T
130,PATIENT,0,5466,T
174,PATIENT,4,5466,T
200,PATIENT,0,5476,T
216,PATIENT,6,5477,T
596,PATIENT,6,5536,T
282,PATIENT,2,5547,T
92,PATIENT,2,5547,T
492,PATIENT,2,5547,T
772,HCW,2,5547,T
591,PATIENT,1,5558,T
391,PATIENT,1,5558,T
191,PATIENT,1,5558,T
524,PATIENT,4,5562,T
282,PATIENT,2,5576,T
992,HCW,2,5584,T
584,PATIENT,4,5598,T
410,PATIENT,0,5624,T
909,HCW,9,5663,T
801,HCW,1,5687,T
414,PATIENT,4,5687,T
494,PATIENT,4,5687,T
841,HCW,1,5687,T
234,PATIENT,4,5687,T
614,PATIENT,4,5687,T
214,PATIENT,4,5687,T
274,PATIENT,4,5687,T
694,PATIENT,4,5687,T
14,PATIENT,4,5687,T
195,PATIENT,5,5687,T
294,PATIENT,4,5687,T
751,HCW,1,5687,T
184,PATIENT,4,5687,T
444,PATIENT,4,5687,T
454,PATIENT,4,5687,T
594,PATIENT,4,5687,T
34,PATIENT,4,5687,T
74,PATIENT,4,5687,T
94,PATIENT,4,5687,T
104,PATIENT,4,5687,T
244,PATIENT,4,5687,T
474,PATIENT,4,5687,T
544,PATIENT,4,5687,T
734,HCW,4,5687,T
84,PATIENT,4,5687,T
144,PATIENT,4,5687,T
24,PATIENT,4,5687,T
684,PATIENT,4,5687,T
834,HCW,4,5687,T
994,HCW,4,5687,T
124,PATIENT,4,5687,T
204,PATIENT,4,5687,T
254,PATIENT,4,5687,T
424,PATIENT,4,5687,T
654,PATIENT,4,5687,T
944,HCW,4,5687,T
224,PATIENT,4,5687,T
344,PATIENT,4,5687,T
674,PATIENT,4,5687,T
774,HCW,4,5687,T
894,HCW,4,5687,T
44,PATIENT,4,5687,T
154,PATIENT,4,5687,T
162,PATIENT,2,5687,T
284,PATIENT,4,5687,T
304,PATIENT,4,5687,T
384,PATIENT,4,5687,T
990,HCW,0,5687,T
194,PATIENT,4,5687,T
394,PATIENT,4,5687,T
524,PATIENT,4,5687,T
604,PATIENT,4,5687,T
644,PATIENT,4,5687,T
880,HCW,0,5687,T
914,HCW,4,5687,T
4,PATIENT,4,5687,T
584,PATIENT,4,5687,T
624,PATIENT,4,5687,T
704,HCW,4,5687,T
974,HCW,4,5687,T
395,PATIENT,5,5687,T
484,PATIENT,4,5687,T
784,HCW,4,5687,T
680,PATIENT,0,5687,T
732,HCW,2,5687,T
764,HCW,4,5687,T
864,HCW,4,5687,T
324,PATIENT,4,5687,T
364,PATIENT,4,5687,T
404,PATIENT,4,5687,T
884,HCW,4,5687,T
952,HCW,2,5687,T
362,PATIENT,2,5687,T
535,PATIENT,5,5687,T
80,PATIENT,0,5687,T
280,PATIENT,0,5687,T
714,HCW,4,5687,T
844,HCW,4,5687,T
954,HCW,4,5687,T
335,PATIENT,5,5687,T
564,PATIENT,4,5687,T
562,PATIENT,2,5687,T
980,HCW,0,5687,T
554,PATIENT,4,5687,T
574,PATIENT,4,5687,T
827,HCW,7,5687,T
130,PATIENT,0,5687,T
174,PATIENT,4,5687,T
246,PATIENT,6,5704,T
445,PATIENT,5,5743,T
965,HCW,5,5743,T
645,PATIENT,5,5743,T
245,PATIENT,5,5743,T
45,PATIENT,5,5743,T
875,HCW,5,5743,T
775,HCW,5,5743,T
696,PATIENT,6,5779,T
926,HCW,6,5779,T
356,PATIENT,6,5779,T
646,PATIENT,6,5779,T
156,PATIENT,6,5779,T
786,HCW,6,5779,T
46,PATIENT,6,5779,T
766,HCW,6,5779,T
446,PATIENT,6,5779,T
246,PATIENT,6,5779,T
923,HCW,3,5826,T
618,PATIENT,8,5829,T
591,PATIENT,1,5846,T
391,PATIENT,1,5846,T
191,PATIENT,1,5846,T
683,PATIENT,3,5872,T
645,PATIENT,5,5924,T
796,HCW,6,5927,T
447,PATIENT,7,5948,T
16,PATIENT,6,5968,T
146,PATIENT,6,5968,T
616,PATIENT,6,5968,T
66,PATIENT,6,5968,T
226,PATIENT,6,5968,T
216,PATIENT,6,5968,T
366,PATIENT,6,5968,T
406,PATIENT,6,5968,T
416,PATIENT,6,5968,T
346,PATIENT,6,5968,T
546,PATIENT,6,5968,T
566,PATIENT,6,5968,T
626,PATIENT,6,5968,T
26,PATIENT,6,5968,T
166,PATIENT,6,5968,T
655,PATIENT,5,6010,T
840,HCW,0,6019,T
819,HCW,9,6028,T
878,HCW,8,6138,T
878,HCW,8,6150,T
774,HCW,4,6164,T
404,PATIENT,4,6164,T
714,HCW,4,6164,T
957,HCW,7,6241,T
88,PATIENT,8,6266,T
505,PATIENT,5,6418,T
340,PATIENT,0,6537,T
540,PATIENT,0,6537,T
140,PATIENT,0,6537,T
326,PATIENT,6,6556,T
648,PATIENT,8,6626,T
858,HCW,8,6626,T
18,PATIENT,8,6640,T
361,PATIENT,1,6671,T
371,PATIENT,1,6707,T
202,PATIENT,2,6735,T
831,HCW,1,6742,T
543,PATIENT,3,6771,T
651,PATIENT,1,6795,T
877,HCW,7,6808,T
161,PATIENT,1,6857,T
456,PATIENT,6,6897,T
56,PATIENT,6,6897,T
856,HCW,6,6897,T
825,HCW,5,6920,T
761,HCW,1,6936,T
323,PATIENT,3,6954,T
786,HCW,6,6972,T
84,PATIENT,4,7050,T
444,PATIENT,4,7095,T
594,PATIENT,4,7095,T
244,PATIENT,4,7095,T
84,PATIENT,4,7095,T
684,PATIENT,4,7095,T
44,PATIENT,4,7095,T
284,PATIENT,4,7095,T
194,PATIENT,4,7095,T
394,PATIENT,4,7095,T
644,PATIENT,4,7095,T
914,HCW,4,7095,T
704,HCW,4,7095,T
484,PATIENT,4,7095,T
884,HCW,4,7095,T
187,PATIENT,7,7133,T
577,PATIENT,7,7133,T
377,PATIENT,7,7133,T
747,HCW,7,7264,T
397,PATIENT,7,7305,T
482,PATIENT,2,7376,T
987,HCW,7,7438,T
212,PATIENT,2,7513,T
299,PATIENT,9,7571,T
959,HCW,9,7571,T
503,PATIENT,3,7591,T
366,PATIENT,6,7599,T
497,PATIENT,7,7602,T
952,HCW,2,7767,T
179,PATIENT,9,7825,T
417,PATIENT,7,7849,T
703,HCW,3,7850,T
524,PATIENT,4,7855,T
670,PATIENT,0,7904,T
739,HCW,9,7915,T
288,PATIENT,8,7973,T
261,PATIENT,1,8112,T
211,PATIENT,1,8112,T
61,PATIENT,1,8112,T
212,PATIENT,2,8112,T
472,PATIENT,2,8112,T
402,PATIENT,2,8112,T
932,HCW,2,8112,T
202,PATIENT,2,8112,T
678,PATIENT,8,8136,T
70,PATIENT,0,8148,T
945,HCW,5,8226,T
777,HCW,7,8242,T
824,HCW,4,8257,T
283,PATIENT,3,8355,T
744,HCW,4,8382,T
28,PATIENT,8,8450,T
628,PATIENT,8,8450,T
555,PATIENT,5,8555,T
755,HCW,5,8555,T
688,PATIENT,8,8627,T
88,PATIENT,8,8627,T
328,PATIENT,8,8627,T
846,HCW,6,8627,T
208,PATIENT,8,8627,T
608,PATIENT,8,8627,T
136,PATIENT,6,8627,T
128,PATIENT,8,8627,T
288,PATIENT,8,8627,T
867,HCW,7,8627,T
588,PATIENT,8,8627,T
998,HCW,8,8627,T
388,PATIENT,8,8627,T
408,PATIENT,8,8627,T
528,PATIENT,8,8627,T
536,PATIENT,6,8627,T
8,PATIENT,8,8627,T
967,HCW,7,8627,T
47,PATIENT,7,8645,T
395,PATIENT,5,8713,T
505,PATIENT,5,8740,T
709,HCW,9,8748,T
926,HCW,6,8788,T
252,PATIENT,2,8876,T
420,PATIENT,0,8950,T
460,PATIENT,0,8950,T
20,PATIENT,0,8950,T
710,HCW,0,8950,T
817,HCW,7,8956,T
310,PATIENT,0,8961,T
867,HCW,7,9011,T
588,PATIENT,8,9011,T
408,PATIENT,8,9011,T
8,PATIENT,8,9011,T
967,HCW,7,9011,T
101,PATIENT,1,9019,T
453,PATIENT,3,9090,T
53,PATIENT,3,9090,T
653,PATIENT,3,9090,T
253,PATIENT,3,9090,T
983,HCW,3,9090,T
907,HCW,7,9175,T
616,PATIENT,6,9190,T
13,PATIENT,3,9221,T
140,PATIENT,0,9232,T
871,HCW,1,9331,T
114,PATIENT,4,9340,T
534,PATIENT,4,9340,T
539,PATIENT,9,9340,T
514,PATIENT,4,9340,T
794,HCW,4,9340,T
314,PATIENT,4,9340,T
754,HCW,4,9340,T
740,HCW,0,9340,T
554,PATIENT,4,9410,T
710,HCW,0,9492,T
288,PATIENT,8,9580,T
433,PATIENT,3,9596,T
554,PATIENT,4,9617,T
407,PATIENT,7,9647,T
521,PATIENT,1,9699,T
302,PATIENT,2,9711,T
16,PATIENT,6,9716,T
701,HCW,1,9730,T
785,HCW,5,9753,T
400,PATIENT,0,9755,T
153,PATIENT,3,9778,T
707,HCW,7,9882,T
807,HCW,7,9882,T
601,PATIENT,1,9914,T
866,HCW,6,9933,T
777,HCW,7,9992,T
365,PATIENT,5,10199,T
643,PATIENT,3,10265,T
680,PATIENT,0,10299,T
974,HCW,4,10315,T
784,HCW,4,10315,T
26,PATIENT,6,10351,T
656,PATIENT,6,10435,T
232,PATIENT,2,10436,T
730,HCW,0,10444,T
100,PATIENT,0,10444,T
300,PATIENT,0,10444,T
820,HCW,0,10444,T
986,HCW,6,10528,T
636,PATIENT,6,10528,T
844,HCW,4,10606,T
602,PATIENT,2,10621,T
157,PATIENT,7,10658,T
747,HCW,7,10673,T
850,HCW,0,10684,T
100,PATIENT,0,10697,T
300,PATIENT,0,10697,T
820,HCW,0,10697,T
127,PATIENT,7,10741,T
527,PATIENT,7,10741,T
327,PATIENT,7,10741,T
249,PATIENT,9,10794,T
434,PATIENT,4,10830,T
241,PATIENT,1,10840,T
46,PATIENT,6,10847,T
614,PATIENT,4,10863,T
787,HCW,7,10958,T
345,PATIENT,5,10985,T
819,HCW,9,11078,T
548,PATIENT,8,11109,T
643,PATIENT,3,11161,T
19,PATIENT,9,11226,T
219,PATIENT,9,11226,T
419,PATIENT,9,11226,T
922,HCW,2,11226,T
646,PATIENT,6,11262,T
786,HCW,6,11262,T
46,PATIENT,6,11262,T
766,HCW,6,11262,T
446,PATIENT,6,11262,T
246,PATIENT,6,11262,T
187,PATIENT,7,11322,T
577,PATIENT,7,11322,T
377,PATIENT,7,11322,T
981,HCW,1,11345,T
146,PATIENT,6,11372,T
238,PATIENT,8,11386,T
200,PATIENT,0,11436,T
544,PATIENT,4,11467,T
534,PATIENT,4,11488,T
369,PATIENT,9,11492,T
289,PATIENT,9,11498,T
928,HCW,8,11586,T
250,PATIENT,0,11592,T
405,PATIENT,5,11629,T
275,PATIENT,5,11629,T
901,HCW,1,11686,T
9,PATIENT,9,11701,T
386,PATIENT,6,11728,T
343,PATIENT,3,11734,T
163,PATIENT,3,11741,T
363,PATIENT,3,11741,T
11,PATIENT,1,11778,T
893,HCW,3,11798,T
407,PATIENT,7,11872,T
364,PATIENT,4,11881,T
364,PATIENT,4,11895,T
192,PATIENT,2,11915,T
778,HCW,8,11926,T
165,PATIENT,5,11937,T
641,PATIENT,1,12147,T
494,PATIENT,4,12191,T
894,HCW,4,12234,T
608,PATIENT,8,12317,T
760,HCW,0,12323,T
378,PATIENT,8,12358,T
245,PATIENT,5,12358,T
382,PATIENT,2,12413,T
191,PATIENT,1,12429,T
10,PATIENT,0,12478,T
879,HCW,9,12526,T
929,HCW,9,12526,T
178,PATIENT,8,12540,T
503,PATIENT,3,12586,T
259,PATIENT,9,12633,T
884,HCW,4,12680,T
271,PATIENT,1,12693,T
471,PATIENT,1,12693,T
241,PATIENT,1,12719,T
441,PATIENT,1,12719,T
91,PATIENT,1,12719,T
651,PATIENT,1,12719,T
891,HCW,1,12719,T
41,PATIENT,1,12719,T
431,PATIENT,1,12719,T
691,PATIENT,1,12719,T
381,PATIENT,1,12719,T
331,PATIENT,1,12719,T
491,PATIENT,1,12719,T
991,HCW,1,12719,T
231,PATIENT,1,12719,T
501,PATIENT,1,12719,T
81,PATIENT,1,12719,T
181,PATIENT,1,12719,T
221,PATIENT,1,12719,T
631,PATIENT,1,12719,T
641,PATIENT,1,12719,T
763,HCW,3,12719,T
901,HCW,1,12719,T
981,HCW,1,12719,T
451,PATIENT,1,12719,T
521,PATIENT,1,12719,T
581,PATIENT,1,12719,T
591,PATIENT,1,12719,T
671,PATIENT,1,12719,T
791,HCW,1,12719,T
951,HCW,1,12719,T
111,PATIENT,1,12719,T
271,PATIENT,1,12719,T
301,PATIENT,1,12719,T
421,PATIENT,1,12719,T
481,PATIENT,1,12719,T
601,PATIENT,1,12719,T
961,HCW,1,12719,T
51,PATIENT,1,12719,T
223,PATIENT,3,12719,T
311,PATIENT,1,12719,T
511,PATIENT,1,12719,T
531,PATIENT,1,12719,T
801,HCW,1,12719,T
904,HCW,4,12719,T
561,PATIENT,1,12719,T
681,PATIENT,1,12719,T
701,HCW,1,12719,T
761,HCW,1,12719,T
1,PATIENT,1,12719,T
131,PATIENT,1,12719,T
161,PATIENT,1,12719,T
261,PATIENT,1,12719,T
278,PATIENT,8,12719,T
321,PATIENT,1,12719,T
361,PATIENT,1,12719,T
